iso3,country_name,gdp_pc_ppp,gov_cons_gdp,life_exp,emp_ratio,pop_65,manuf_va_gdp
AUS,Australia,-0.09121596844466395,0.2628288567385052,0.7898451329225894,0.7476498643790217,-0.34237989594013973,-1.4559790877401346
AUT,Austria,-0.3269938499633485,0.21508831787694277,0.41927515167129525,0.0528464468512532,0.39077465439460185,0.5179173234914026
BEL,Belgium,-0.2942446935047926,1.1887064820991704,0.3780600029903555,-1.1674933274194528,0.37585221143616976,-0.32452213325349544
CAN,Canada,0.09438850908152695,0.5246074550760661,0.5310139992062876,0.7113486786037592,-0.0358583367907886,-0.7759020572647404
CHE,Switzerland,-0.2969302866453587,-1.9919350548338541,1.1437458762629353,1.3013388132592882,0.2925874616872188,0.5436048145188541
CHL,Chile,-0.33486763393741537,-1.1576738364316095,-0.051427491246443274,0.187122487896725,-1.1556589446161538,-0.8070287040882596
COL,Colombia,-0.251316476984248,-1.0106180274149217,-1.5317858744308983,0.42196176101504224,-2.0915138909709987,-0.45492515017820445
CRI,Costa Rica,-0.44898711966716714,-0.6047993183363641,-0.1281078174212355,-0.12428161014899665,-1.6932469767132026,-0.4300771854328532
CZE,Czechia,-0.34767549111701235,0.017154919757633953,-0.5737351638814868,0.14931940447054828,0.4802654817328639,1.4819968372169945
DEU,Germany,0.925255457183144,0.184560950584349,0.1749151146029654,0.20738212854946914,0.9901644935434175,0.959630026519195
DNK,Denmark,-0.3758361249929718,1.5760638529215358,0.19396567221549277,0.2060400072443964,0.5129949974739558,-0.22833289175519278
ESP,Spain,0.10507540227683969,-0.0022711765847668783,1.0684595380057402,-1.484713284453816,0.4634822068097483,-0.5781128468216895
EST,Estonia,-0.4651638530077659,0.05678230949693667,-0.9212246618714436,0.3421374986324653,0.5640054617224787,-0.1652379370689839
FIN,Finland,-0.39547330836445177,1.2635732468569336,0.433929426757849,-0.4799118007237351,0.9520572807041473,0.09897983455065952
FRA,France,0.4835788413251234,1.2584432272114396,0.7880133485367715,-1.1197202000127466,0.615547372354515,-0.723547151397482
GBR,United Kingdom,0.4566424133697451,0.007747262451031735,0.2638189379843281,0.40521719997081806,0.264397131958198,-0.8847262371583762
GRC,Greece,-0.38349975184177193,0.3895720038455002,0.34985052344873874,-2.701761666000181,1.0622853489237167,-1.0587621123010043
HUN,Hungary,-0.3871939373599076,0.27638208270484155,-1.70083209647625,-0.33882928734540146,0.4237840890881918,0.7840194942658963
IRL,Ireland,-0.3616746494936728,-1.8330328377815461,0.5775413226061098,0.0870066295922368,-0.7327271137727988,3.158752088407624
ISL,Iceland,-0.4734345542060233,1.2412351008957545,0.81695554183271,2.7003085421811583,-0.6572871619047167,-0.8636778726840317
ISR,Israel,-0.375954774885155,0.8704445811987456,0.7612692965038037,0.8785706021618139,-1.2295976213025444,-0.4070354828224484
ITA,Italy,0.3289529929838689,-0.009392689052296963,0.9836479209423029,-2.1161494032207173,1.2720026771378732,0.06594189481515815
JPN,Japan,1.0764344142176805,0.21383067385799207,1.3492354486641585,0.3001163196760651,2.471160327735798,1.0369981073908883
KOR,"Korea, Rep.",0.19583420096920529,-1.057021273677761,0.7735422518887942,0.539621062092963,-0.6723787395648138,2.243993233842886
LTU,Lithuania,-0.44877857279379313,-0.5759041321714633,-1.9559996614209054,-0.12230038346055808,0.5655571100372566,0.3988182359785416
LUX,Luxembourg,-0.45774571901103955,-0.6631641499263298,0.715474686858314,-0.19100421217254362,-0.5874276614882464,-1.5483498551202377
LVA,Latvia,-0.4617384592139796,-0.0010339746539926092,-2.1494360925634606,-0.23232237520723917,0.6904063865902075,-0.5897753588522645
MEX,Mexico,0.2623716960450756,-1.9987625962095714,-2.296786660343173,0.19865834006650415,-2.242950756810134,0.9655016177984049
NLD,Netherlands,-0.16834442342087522,1.4354504587686419,0.47129782822856586,0.9502143156372902,0.33720819461089957,-0.6638761026215566
NOR,Norway,-0.35283553605655177,1.2971589631370828,0.7929591663784851,0.8691118424879793,-0.025234376266661612,-1.3293381800794006
NZL,New Zealand,-0.41800584868134566,-0.14180640623025428,0.4815741386330191,1.5059164464751635,-0.45648657038267637,-0.6942454603463429
POL,Poland,-0.11459121760735064,-0.3032300827745428,-1.045236464791437,-0.4547310486190628,-0.10302159491642224,0.4906870403182034
PRT,Portugal,-0.3711487663473006,-0.40523580204342974,0.3148634416795905,-0.5950466355373542,1.0285967237552514,-0.3528816283186684
SVK,Slovak Republic,-0.4263711454668666,0.001493228223128985,-1.2507626728803904,-0.3669818794827305,-0.38869304472221433,0.6454459786842967
SVN,Slovenia,-0.4556684001201561,-0.025736546944671593,0.25587998445618526,-0.45575361723245045,0.46162493643659946,1.030323657144409
SWE,Sweden,-0.3113593373947163,1.9746409463720984,0.759254333679404,0.45052977165156016,0.6530149535119452,-0.14713879575712566
TUR,Turkiye,0.13635000710905978,-1.196711349200431,-1.2856728197053462,-1.6918792944723284,-2.01187697722365,0.5714502016826033
USA,United States,5.532165965968434,-1.2774356658065154,-0.6973806099243061,0.4304618626138269,-0.44142983825889404,-0.510588155563506
